[init] compiling model with torch.compile...
[init] model compiled, starting data generator...
[train] starting training loop, 600000 micro-steps
step   1970 | loss 2.0778 | lr 1.98e-04
step   1980 | loss 3.0422 | lr 1.98e-04
step   1990 | loss 2.3872 | lr 1.98e-04
step   2000 | loss 2.9184 | lr 1.98e-04
step   2010 | loss 2.5876 | lr 1.98e-04
step   2020 | loss 2.5549 | lr 1.98e-04
step   2030 | loss 2.6651 | lr 1.97e-04
step   2040 | loss 2.7844 | lr 1.97e-04
step   2050 | loss 2.3003 | lr 1.97e-04
step   2060 | loss 2.4107 | lr 1.97e-04
step   2070 | loss 2.7249 | lr 1.97e-04
step   2080 | loss 2.5873 | lr 1.97e-04
step   2090 | loss 2.2461 | lr 1.97e-04
step   2100 | loss 2.8201 | lr 1.97e-04
step   2110 | loss 2.5640 | lr 1.97e-04
step   2120 | loss 2.7034 | lr 1.97estep   2130 | loss 1.6858 | lr 1.97e-04
step   2140 | loss 2.5358 | lr 1.97e-04
step   2150 | loss 2.5947 | lr 1.97e-04
step   2160 | loss 2.0642 | lr 1.97e-04
step   2170 | loss 2.3621 | lr 1.97e-04
step   2180 | loss 2.3193 | lr 1.97e-04
step   2190 | loss 2.8911 | lr 1.97e-04
step   2200 | loss 2.1036 | lr 1.97e-04
step   2210 | loss 2.3138 | lr 1.97e-04
step   2220 | loss 1.9884 | lr 1.96e-04
step   2230 | loss 2.0997 | lr 1.96e-04
step   2240 | loss 2.0311 | lr 1.96e-04
step   2250 | loss 2.4853 | lr 1.96e-04
step   2260 | loss 2.4507 | lr 1.96e-04
step   2270 | loss 1.7397 | lr 1.96e-04
step   2280 | loss 2.2997 | lr 1.96e-04
step   2290 | loss 2.0654 | lr 1.96e-04
step   2300 | loss 2.4827 | lr 1.96e-04
step   2310 | loss 2.2204 | lr 1.96e-04
step   2320 | loss 2.2914 | lr 1.96e-04
step   2330 | loss 2.6812 | lr 1.96e-04
step   2340 | loss 1.9875 | lr 1.96e-04
step   2350 | loss 2.2027 | lr 1.96e-04
step   2360 | loss 2.4975 | lr 1.96e-04
step   2370 | loss 2.5595 | lr 1.96e-04
step   2380 | loss 2.0401 | lr 1.95e-04
step   2390 | loss 1.2391 | lr 1.95e-04
step   2400 | loss 2.3568 | lr 1.95e-04
step   2410 | loss 2.0427 | lr 1.95e-04
step   2420 | loss 2.2548 | lr 1.95e-04
step   2430 | loss 2.3110 | lr 1.95e-04
step   2440 | loss 2.3115 | lr 1.95e-04
step   2450 | loss 2.7739 | lr 1.95e-04
step   2460 | loss 1.9359 | lr 1.95e-04
step   2470 | loss 2.3342 | lr 1.95e-04
step   2480 | loss 2.2564 | lr 1.95e-04
step   2490 | loss 2.3534 | lr 1.95e-04
step   2500 | loss 2.5984 | lr 1.95e-04
step   2510 | loss 2.4196 | lr 1.95e-04
step   2520 | loss 2.5196 | lr 1.95e-04
step   2530 | loss 2.0565 | lr 1.94e-04
step   2540 | loss 2.3930 | lr 1.94e-04
step   2550 | loss 2.4020 | lr 1.94e-04
step   2560 | loss 2.3596 | lr 1.94e-04
step   2570 | loss 2.1497 | lr 1.94e-04
step   2580 | loss 2.1073 | lr 1.94e-04
step   2590 | loss 2.4101 | lr 1.94e-04
step   2600 | loss 1.9862 | lr 1.94e-04
step   2610 | loss 2.1324 | lr 1.94e-04
step   2620 | loss 2.2503 | lr 1.94e-04
step   2630 | loss 1.9616 | lr 1.94e-04
step   2640 | loss 2.2650 | lr 1.94e-04
