[init] compiling model with torch.compile...
[init] model compiled, starting data generator...
[train] starting training loop, 150000 micro-steps
step  2680 | loss 1.9500 | lr 5.75e-04 | 49542 tok/s
step  2690 | loss 2.4150 | lr 5.75e-04 | 49544 tok/s
step  2700 | loss 1.7223 | lr 5.74e-04 | 49544 tok/s
step  2710 | loss 1.7726 | lr 5.74e-04 | 49543 tok/s
[data] epoch 14 complete, starting epoch 15
step  2720 | loss 1.4247 | lr 5.74e-04 | 42813 tok/s
step  2730 | loss 2.2552 | lr 5.74e-04 | 49539 tok/s
step  2740 | loss 1.5343 | lr 5.73e-04 | 49539 tok/s
step  2750 | loss 2.3983 | lr 5.73e-04 | 49466 tok/s
step  2760 | loss 1.6309 | lr 5.73e-04 | 49541 tok/s
step  2770 | loss 1.9577 | lr 5.73e-04 | 49540 tok/s
step  2780 | loss 2.0321 | lr 5.72e-04 | 49541 tok/s
step  2790 | loss 2.4070 | lr 5.72e-04 | 49536 tok/s
step  2800 | loss 1.9518 | lr 5.72e-04 | 49535 tok/s
step  2810 | loss 2.0950 | lr 5.72e-04 | 49536 tok/s
step  2820 | loss 1.6987 | lr 5.71e-04 | 49534 tok/s
step  2830 | loss 2.0407 | lr 5.71e-04 | 49534 tok/s
step  2840 | loss 2.2876 | lr 5.71e-04 | 49535 tok/s
step  2850 | loss 2.0689 | lr 5.70e-04 | 49535 tok/s
step  2860 | loss 1.7170 | lr 5.70e-04 | 49539 tok/s
step  2870 | loss 1.7711 | lr 5.70e-04 | 49540 tok/s
step  2880 | loss 2.2189 | lr 5.70e-04 | 49538 tok/s
step  2890 | loss 2.6579 | lr 5.69e-04 | 49535 tok/s
[data] epoch 15 complete, starting epoch 16
step  2900 | loss 1.8754 | lr 5.69e-04 | 41783 tok/s
step  2910 | loss 2.3587 | lr 5.69e-04 | 49544 tok/s
step  2920 | loss 1.5660 | lr 5.69e-04 | 49544 tok/s
step  2930 | loss 1.8886 | lr 5.68e-04 | 49541 tok/s
step  2940 | loss 1.6445 | lr 5.68e-04 | 49546 tok/s
step  2950 | loss 1.9617 | lr 5.68e-04 | 49540 tok/s
step  2960 | loss 2.1548 | lr 5.67e-04 | 49543 tok/s
step  2970 | loss 1.2339 | lr 5.67e-04 | 49542 tok/s
step  2980 | loss 1.8885 | lr 5.67e-04 | 49541 tok/s
step  2990 | loss 1.9792 | lr 5.67e-04 | 49538 tok/s
step  3000 | loss 2.1105 | lr 5.66e-04 | 49540 tok/s
[checkpoint] new best model saved (loss=2.1105)
[checkpoint] saved at step 3000, epoch 16
step  3010 | loss 2.3751 | lr 5.66e-04 | 46662 tok/s
step  3020 | loss 2.0451 | lr 5.66e-04 | 49533 tok/s
step  3030 | loss 1.9753 | lr 5.65e-04 | 49537 tok/s
step  3040 | loss 1.9315 | lr 5.65e-04 | 49537 tok/s
step  3050 | loss 2.1349 | lr 5.65e-04 | 49538 tok/s
step  3060 | loss 1.5872 | lr 5.65e-04 | 49543 tok/s
step  3070 | loss 2.1164 | lr 5.64e-04 | 49542 tok/s
[data] epoch 16 complete, starting epoch 17
step  3080 | loss 1.8460 | lr 5.64e-04 | 42061 tok/s
step  3090 | loss 2.1785 | lr 5.64e-04 | 49543 tok/s
step  3100 | loss 1.8827 | lr 5.63e-04 | 49543 tok/s
step  3110 | loss 1.9455 | lr 5.63e-04 | 49540 tok/s
step  3120 | loss 2.2742 | lr 5.63e-04 | 49543 tok/s
step  3130 | loss 2.3640 | lr 5.62e-04 | 49535 tok/s
step  3140 | loss 1.8631 | lr 5.62e-04 | 49533 tok/s
step  3150 | loss 2.1455 | lr 5.62e-04 | 49533 tok/s
step  3160 | loss 1.6732 | lr 5.62e-04 | 49536 tok/s
step  3170 | loss 1.7133 | lr 5.61e-04 | 49537 tok/s
step  3180 | loss 1.8044 | lr 5.61e-04 | 49536 tok/s
step  3190 | loss 1.4845 | lr 5.61e-04 | 49537 tok/s
step  3200 | loss 1.3715 | lr 5.60e-04 | 49537 tok/s
step  3210 | loss 2.0259 | lr 5.60e-04 | 49537 tok/s
step  3220 | loss 1.7992 | lr 5.60e-04 | 49536 tok/s
step  3230 | loss 1.7378 | lr 5.59e-04 | 49465 tok/s
step  3240 | loss 1.8620 | lr 5.59e-04 | 49536 tok/s
step  3250 | loss 2.3747 | lr 5.59e-04 | 49537 tok/s
step  3260 | loss 3.5322 | lr 5.58e-04 | 49521 tok/s
[data] epoch 17 complete, starting epoch 18
step  3270 | loss 1.6565 | lr 5.58e-04 | 40487 tok/s
step  3280 | loss 1.6719 | lr 5.58e-04 | 49531 tok/s
step  3290 | loss 2.0168 | lr 5.57e-04 | 49537 tok/s
step  3300 | loss 2.1975 | lr 5.57e-04 | 49539 tok/s
step  3310 | loss 1.8410 | lr 5.57e-04 | 49534 tok/s
step  3320 | loss 1.5782 | lr 5.57e-04 | 49537 tok/s
step  3330 | loss 1.8463 | lr 5.56e-04 | 49534 tok/s
step  3340 | loss 2.0577 | lr 5.56e-04 | 49533 tok/s
step  3350 | loss 1.6983 | lr 5.56e-04 | 49536 tok/s
step  3360 | loss 1.9713 | lr 5.55e-04 | 49539 tok/s
step  3370 | loss 1.7428 | lr 5.55e-04 | 49541 tok/s
step  3380 | loss 1.9158 | lr 5.55e-04 | 49541 tok/s
step  3390 | loss 1.8148 | lr 5.54e-04 | 49539 tok/s
step  3400 | loss 1.6324 | lr 5.54e-04 | 49538 tok/s
step  3410 | loss 1.3233 | lr 5.54e-04 | 49539 tok/s
step  3420 | loss 1.8811 | lr 5.53e-04 | 49538 tok/s
step  3430 | loss 1.8160 | lr 5.53e-04 | 49538 tok/s
step  3440 | loss 2.0069 | lr 5.53e-04 | 49536 tok/s
[data] epoch 18 complete, starting epoch 19
step  3450 | loss 1.7234 | lr 5.52e-04 | 42566 tok/s
step  3460 | loss 2.4665 | lr 5.52e-04 | 49531 tok/s
step  3470 | loss 1.5083 | lr 5.52e-04 | 49529 tok/s
step  3480 | loss 1.6555 | lr 5.51e-04 | 49530 tok/s
step  3490 | loss 1.8502 | lr 5.51e-04 | 49531 tok/s
step  3500 | loss 1.9145 | lr 5.51e-04 | 49529 tok/s
step  3510 | loss 1.8562 | lr 5.50e-04 | 49532 tok/s
step  3520 | loss 1.6087 | lr 5.50e-04 | 49532 tok/s
step  3530 | loss 1.5058 | lr 5.50e-04 | 49536 tok/s
step  3540 | loss 2.1461 | lr 5.49e-04 | 49535 tok/s
step  3550 | loss 2.2307 | lr 5.49e-04 | 49521 tok/s
step  3560 | loss 1.7790 | lr 5.48e-04 | 49526 tok/s
step  3570 | loss 1.8352 | lr 5.48e-04 | 49531 tok/s
step  3580 | loss 1.5612 | lr 5.48e-04 | 49529 tok/s
step  3590 | loss 1.6558 | lr 5.47e-04 | 49532 tok/s
step  3600 | loss 1.8183 | lr 5.47e-04 | 49527 tok/s
step  3610 | loss 1.4804 | lr 5.47e-04 | 49526 tok/s
step  3620 | loss 1.5975 | lr 5.46e-04 | 49527 tok/s
[data] epoch 19 complete, starting epoch 20
step  3630 | loss 1.3691 | lr 5.46e-04 | 42802 tok/s
step  3640 | loss 2.2031 | lr 5.46e-04 | 49534 tok/s
step  3650 | loss 1.9419 | lr 5.45e-04 | 49527 tok/s
step  3660 | loss 1.7317 | lr 5.45e-04 | 49541 tok/s
step  3670 | loss 1.8487 | lr 5.45e-04 | 49541 tok/s
step  3680 | loss 1.2648 | lr 5.44e-04 | 49540 tok/s
step  3690 | loss 1.6456 | lr 5.44e-04 | 49538 tok/s
step  3700 | loss 1.5733 | lr 5.43e-04 | 49466 tok/s
step  3710 | loss 1.6992 | lr 5.43e-04 | 49539 tok/s
step  3720 | loss 2.0481 | lr 5.43e-04 | 49540 tok/s
step  3730 | loss 1.7990 | lr 5.42e-04 | 49538 tok/s
step  3740 | loss 1.9024 | lr 5.42e-04 | 49540 tok/s
step  3750 | loss 1.5645 | lr 5.42e-04 | 49538 tok/s
step  3760 | loss 2.2034 | lr 5.41e-04 | 49539 tok/s
step  3770 | loss 1.1540 | lr 5.41e-04 | 49537 tok/s
step  3780 | loss 1.8594 | lr 5.41e-04 | 49530 tok/s
step  3790 | loss 1.3219 | lr 5.40e-04 | 49524 tok/s
step  3800 | loss 2.3151 | lr 5.40e-04 | 49525 tok/s
[data] epoch 20 complete, starting epoch 21
step  3810 | loss 1.7102 | lr 5.39e-04 | 42477 tok/s
step  3820 | loss 1.5198 | lr 5.39e-04 | 49535 tok/s
step  3830 | loss 1.8506 | lr 5.39e-04 | 49526 tok/s
step  3840 | loss 1.7705 | lr 5.38e-04 | 49523 tok/s
step  3850 | loss 1.8016 | lr 5.38e-04 | 49526 tok/s
